source_id,kou_id,title,publisher,url,observed_date,accessed_date,note
S021,72,東京の霜・雪・結氷の平年値,気象庁,https://www.data.jma.go.jp/stats/etrn/view/nml_sfc_season.php?block_no=47662&day=&month=12&prec_no=44&view=&year=2021,,2026-08-27,東京の初氷平年日12月24日
S022,45,ペルセウス座流星群が極大 2026年8月,国立天文台,https://www.nao.ac.jp/astro/sky/2026/08-topics03.html,2026-08-13,2026-08-27,2026年は8月13日11時頃極大・13日未明が見頃
S023,69,ふたご座流星群が極大 2026年12月,国立天文台,https://www.nao.ac.jp/astro/sky/2026/12-topics02.html,2026-12-14,2026-08-27,2026年は12月14日23時頃極大
S024,44,小峰公園 8月上旬のキツネノカミソリ,東京都公園協会,https://www.tokyo-park.or.jp/park/komine/news/nature/2026/9_12_1_2_2_1_1_1_1_1_1_1_1_1_1.html,2026-08-06,2026-08-27,8月上旬に見頃と明記
S025,60,小山内裏公園 10月末のジョウビタキ,東京都公園協会,https://www.tokyo-park.or.jp/park/oyamadairi/news/2023/53609.html,2023-10-27,2026-08-27,10月末近くに冬鳥ジョウビタキが飛来した記録
S026,51,ヒガンバナ,東京都公園協会 神代植物公園,https://www.tokyo-park.or.jp/park/jindai/flora/detail/f_169.html,,2026-08-27,見頃の季節を9月中旬とする公式植物情報
S027,5,小山内裏公園 1月下旬の梅,東京都公園協会,https://www.tokyo-park.or.jp/park/oyamadairi/news/2026/1_1_26.html,2026-01-26,2026-08-27,1月下旬に白梅が見頃・紅梅も開花している記録
S028,50,白露 9月8日〜22日の見どころ,東京都公園協会 小石川後楽園,https://www.tokyo-park.or.jp/park/koishikawakorakuen/news/2023/53219.html,2023-09-14,2026-08-27,夜の気温が下がり露ができ始める頃との季節解説
S029,53,小石川後楽園 9月24日の稲田,東京都公園協会,https://www.tokyo-park.or.jp/park/koishikawakorakuen/news/2023/53334.html,2023-09-24,2026-08-27,黄金色に実った稲穂を確認
S030,32,過去の梅雨入りと梅雨明け 関東甲信,気象庁,https://www.data.jma.go.jp/cpd/baiu/kako_baiu09.html,,2026-08-27,関東甲信の梅雨入り平年は6月7日頃
