id,month,start_day,end_day,name,reading,confidence,category,phase
29,5,21,25,塩辛蜻蛉水辺に増す,しおからとんぼみずべにます,A+,昆虫,最盛
30,5,26,31,蕺白む,どくだみしろむ,A+,植物,開始・最盛
31,6,1,5,紫陽花雨に映ゆ,あじさいあめにはゆ,A+,植物,最盛
32,6,6,10,梅雨空定まる,つゆぞらさだまる,S,気象,開始
33,6,11,15,梔子香深し,くちなしかおりふかし,A+,植物,開始・最盛
34,6,16,20,蛍水辺に灯る,ほたるみずべにともる,S,昆虫,開始・最盛
35,6,21,25,捩花芝に立つ,ねじばなしばにたつ,A+,植物,開始・最盛
36,6,26,30,合歓花ひらく,ねむのはなひらく,A+,植物,開始
37,7,1,5,蟪蛄声立つ,にいにいぜみこえたつ,S,昆虫,開始
38,7,6,10,山百合香り立つ,やまゆりかおりたつ,A+,植物,開始・最盛
39,7,11,15,蜩夕べを告ぐ,ひぐらしゆうべをつぐ,S,昆虫,開始
40,7,16,20,蓮朝にひらく,はすあさにひらく,S,植物,最盛
41,7,21,25,甲虫樹液に集う,かぶとむしじゅえきにつどう,A,昆虫,最盛
42,7,26,31,油蝉街を満たす,あぶらぜみまちをみたす,S,昆虫,最盛
43,8,1,5,法師蝉鳴き初む,ほうしぜみなきそむ,S,昆虫,開始
44,8,6,10,狐剃刀野に灯る,きつねのかみそりのにともる,A,植物,開始・最盛
45,8,11,15,流星夜空を渡る,りゅうせいよぞらをわたる,S,天文,最盛
46,8,16,20,秋虫夜に鳴き出す,あきむしよるになきだす,S,昆虫,開始
47,8,21,25,百日紅街を彩る,さるすべりまちをいろどる,B+,植物,最盛
48,8,26,31,葛花咲き初む,くずはなさきそむ,A,植物,開始
49,9,1,5,露草朝に青む,つゆくさあさにあおむ,A+,植物,最盛
50,9,6,10,朝露葉に宿る,あさつゆはにやどる,A,気象,開始・最盛
51,9,11,15,彼岸花野に立つ,ひがんばなのにたつ,S,植物,開始
52,9,16,20,萩野にこぼる,はぎのにこぼる,A+,植物,最盛
53,9,21,25,稲穂黄金に垂る,いなほこがねにたる,A+,植物・農景観,最盛
54,9,26,30,赤蜻蛉野に戻る,あかとんぼのにもどる,A+,昆虫,開始
55,10,1,5,薄穂風に光る,すすきのほかぜにひかる,A+,植物,最盛
56,10,6,10,金木犀香る,きんもくせいかおる,S,植物,開始・最盛
57,10,11,15,百舌高鳴く,もずたかなく,S,鳥,開始
58,10,16,20,団栗道に落つ,どんぐりみちにおつ,A+,植物,最盛
59,10,21,25,山茶花咲き初む,さざんかさきそむ,A,植物,開始
60,10,26,31,尉鶲街に来る,じょうびたきまちにくる,S,鳥,開始
61,11,1,5,紅葉葉楓色づく,もみじばふういろづく,S,植物,最盛
62,11,6,10,鶫街に現る,つぐみまちにあらわる,A+,鳥,開始
63,11,11,15,紅葉森燃ゆ,もみじもりもゆ,S,植物,最盛
64,11,16,20,銀杏街を照らす,いちょうまちをてらす,S,植物,最盛
65,11,21,25,八手花ひらく,やつではなひらく,A+,植物,開始・最盛
66,11,26,30,鴨水面に集う,かもみなもにつどう,S,鳥,最盛
67,12,1,5,冬星冴える,ふゆぼしさえる,A,天文,最盛
68,12,6,10,螳螂卵を残す,かまきりたまごをのこす,A,昆虫,最盛
69,12,11,15,双子星雨降る,ふたごぼしあめふる,S,天文,最盛
70,12,16,20,冬芽枝に露わ,ふゆめえだにあらわ,S,植物,最盛
71,12,21,25,霜朝を白くす,しもあさをしろくす,S,気象,開始
72,12,26,31,氷水辺に張る,こおりみずべにはる,S,気象,開始
